,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,,,,,,,2,,,,,,,3,,,,,,
,,,,,0.0001,0.001,0.1,1,10,1000,10000,0.0001,0.001,0.1,1,10,1000,10000,0.0001,0.001,0.1,1,10,1000,10000
,,,,,0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.4983333333,0.4983333333,0.5233333333,0.6366666667,0.7954166667,0.7954166667,0.7954166667,0.4733333333,0.4733333333,0.4733333333,0.7025,0.7954166667,0.7954166667,0.7954166667
,,1,0.0001,0.63,,,,,,,,,,,0.0376353138,0.0014988733,0.0014988733,0.0014988733,0.0126111441,0.0126111441,,0.0065017024,0.0011520451,0.0011520451,0.0011520451
,,,0.001,0.63,,,,,,,,,,,0.0376353138,0.0014988733,0.0014988733,0.0014988733,0.0126111441,0.0126111441,,0.0065017024,0.0011520451,0.0011520451,0.0011520451
,,,0.1,0.63,,,,,,,,,,,0.0376353138,0.0014988733,0.0014988733,0.0014988733,0.0126111441,0.0126111441,,0.0065017024,0.0011520451,0.0011520451,0.0011520451
,,,1,0.63,,,,,,,,,,,0.0376353138,0.0014988733,0.0014988733,0.0014988733,0.0126111441,0.0126111441,,0.0065017024,0.0011520451,0.0011520451,0.0011520451
,,,10,0.63,,,,,,,,,,,0.0376353138,0.0014988733,0.0014988733,0.0014988733,0.0126111441,0.0126111441,,0.0065017024,0.0011520451,0.0011520451,0.0011520451
,,,1000,0.63,,,,,,,,,,,0.0376353138,0.0014988733,0.0014988733,0.0014988733,0.0126111441,0.0126111441,,0.0065017024,0.0011520451,0.0011520451,0.0011520451
,,,10000,0.63,,,,,,,,,,,0.0376353138,0.0014988733,0.0014988733,0.0014988733,0.0126111441,0.0126111441,,0.0065017024,0.0011520451,0.0011520451,0.0011520451
,,2,0.0001,0.4983333333,,,,,,,,,,,0.0172574561,0.0010079762,0.0010079762,0.0010079762,0.0172574561,0.0172574561,,0.0031970994,0.0008807432,0.0008807432,0.0008807432
,,,0.001,0.4983333333,,,,,,,,,,,0.0172574561,0.0010079762,0.0010079762,0.0010079762,0.0172574561,0.0172574561,,0.0031970994,0.0008807432,0.0008807432,0.0008807432
,,,0.1,0.5233333333,,,,,,,,,,,0.0172574561,0.0010079762,0.0010079762,0.0010079762,0.0126111441,0.0126111441,,0.0031970994,0.0008807432,0.0008807432,0.0008807432
,,,1,0.6366666667,0.0376353138,0.0376353138,0.0376353138,0.0376353138,0.0376353138,0.0376353138,0.0376353138,0.0172574561,0.0172574561,0.0172574561,,0.0191099222,0.0191099222,0.0191099222,0.0002851181,0.0002851181,0.0065017024,,0.0113296967,0.0113296967,0.0113296967
,,,10,0.7954166667,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0010079762,0.0010079762,0.0010079762,0.0191099222,,,,0.0001570523,0.0001570523,0.0007685389,,,,
,,,1000,0.7954166667,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0010079762,0.0010079762,0.0010079762,0.0191099222,,,,0.0001570523,0.0001570523,0.0007685389,,,,
,,,10000,0.7954166667,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0014988733,0.0010079762,0.0010079762,0.0010079762,0.0191099222,,,,0.0001570523,0.0001570523,0.0007685389,,,,
,,3,0.0001,0.4733333333,0.0126111441,0.0126111441,0.0126111441,0.0126111441,0.0126111441,0.0126111441,0.0126111441,0.0172574561,0.0172574561,0.0126111441,0.0002851181,0.0001570523,0.0001570523,0.0001570523,,,,0.0001570523,0.0001570523,0.0001570523,0.0001570523
,,,0.001,0.4733333333,0.0126111441,0.0126111441,0.0126111441,0.0126111441,0.0126111441,0.0126111441,0.0126111441,0.0172574561,0.0172574561,0.0126111441,0.0002851181,0.0001570523,0.0001570523,0.0001570523,,,,0.0001570523,0.0001570523,0.0001570523,0.0001570523
,,,0.1,0.4733333333,,,,,,,,,,,0.0065017024,0.0007685389,0.0007685389,0.0007685389,,,,0.0019397281,0.0006697294,0.0006697294,0.0006697294
,,,1,0.7025,0.0065017024,0.0065017024,0.0065017024,0.0065017024,0.0065017024,0.0065017024,0.0065017024,0.0031970994,0.0031970994,0.0031970994,,,,,0.0001570523,0.0001570523,0.0019397281,,,,
,,,10,0.7954166667,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0008807432,0.0008807432,0.0008807432,0.0113296967,,,,0.0001570523,0.0001570523,0.0006697294,,,,
,,,1000,0.7954166667,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0008807432,0.0008807432,0.0008807432,0.0113296967,,,,0.0001570523,0.0001570523,0.0006697294,,,,
,,,10000,0.7954166667,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0011520451,0.0008807432,0.0008807432,0.0008807432,0.0113296967,,,,0.0001570523,0.0001570523,0.0006697294,,,,
