,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-features,,1,2,3,4,5,6,7,8,9,10,25,50,100,200,300,400,500,600,700,800,900,1000,2000,5000,10000,20000,23000,26000,26200,26260
,Accuracy,0.1846,0.2700,0.2904,0.3038,0.3171,0.3104,0.3425,0.3296,0.3429,0.3429,0.3625,0.3563,0.3563,0.3563,0.3563,0.3692,0.3754,0.3821,0.3758,0.3758,0.3821,0.3821,0.3821,0.3825,0.3821,0.3954,0.4217,0.4417,0.4483,0.4483
1,0.1846,,0.0312,0.0113,0.0036,0.0091,0.0091,0.0009,0.0017,0.0017,0.0017,0.0009,0.0017,0.0017,0.0017,0.0017,0.0009,0.0009,0.0009,0.0017,0.0017,0.0009,0.0009,0.0009,0.0013,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
2,0.2700,0.0312,,,,,,,,,,,,,,,,0.0343,0.0343,,,0.0343,0.0343,0.0343,0.0257,0.0073,0.0028,0.0005,0.0002,0.0002,0.0002
3,0.2904,0.0113,,,,,,,,,,,,,,,,,,,,,,,,0.0312,0.0102,0.0022,0.0005,0.0004,0.0004
4,0.3038,0.0036,,,,,,,,,,,,,,,,,,,,,,,,,0.0173,0.0028,0.0005,0.0004,0.0004
5,0.3171,0.0091,,,,,,,,,,,,,,,,,,,,,,,,,,0.0494,0.0102,0.0065,0.0065
6,0.3104,0.0091,,,,,,,,,,,,,,,,,,,,,,,,,,0.0211,0.0041,0.0028,0.0028
7,0.3425,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0191,0.0126,0.0126
8,0.3296,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,0.0312,0.0082,0.0058,0.0058
9,0.3429,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0343,0.0233,0.0233
10,0.3429,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0343,0.0233,0.0233
25,0.3625,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.3563,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0494,0.0494
100,0.3563,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0494,0.0494
200,0.3563,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0494,0.0494
300,0.3563,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0494,0.0494
400,0.3692,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,0.3754,0.0009,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,0.3821,0.0009,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
700,0.3758,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,0.3758,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,0.3821,0.0009,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,0.3821,0.0009,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,0.3821,0.0009,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,0.3825,0.0013,0.0257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10000,0.3821,0.0002,0.0073,0.0312,,,,,,,,,,,,,,,,,,,,,,,,,0.0343,0.0312,0.0312
20000,0.3954,0.0002,0.0028,0.0102,0.0173,,,,,,,,,,,,,,,,,,,,,,,,,,
23000,0.4217,0.0002,0.0005,0.0022,0.0028,0.0494,0.0211,,0.0312,,,,,,,,,,,,,,,,,,,,,,
26000,0.4417,0.0002,0.0002,0.0005,0.0005,0.0102,0.0041,0.0191,0.0082,0.0343,0.0343,,,,,,,,,,,,,,,0.0343,,,,,
26200,0.4483,0.0002,0.0002,0.0004,0.0004,0.0065,0.0028,0.0126,0.0058,0.0233,0.0233,,0.0494,0.0494,0.0494,0.0494,,,,,,,,,,0.0312,,,,,
26260,0.4483,0.0002,0.0002,0.0004,0.0004,0.0065,0.0028,0.0126,0.0058,0.0233,0.0233,,0.0494,0.0494,0.0494,0.0494,,,,,,,,,,0.0312,,,,,
